CODE2,CODE1,CODEBASE,M_F_RAT,P_H_CNT,P_DEN,DEPENDENCY_RAT,A0A14_A15A65_RAT,A65UP_A15A64_RAT,A65_A0A14_RAT,INFO_TIME
二級發布區代碼,一級發布區代碼,最小統計區代碼,性比例,戶量,人口密度,扶養比,扶幼比,扶老比,老化指數,資料時間
A6402-22,A6402-22-004,A6402-0237-00,123.26,2.4,10543.03,35.21,5.63,29.58,525,107Y12M
A6402-22,A6402-22-005,A6402-0231-00,100,3.13,7138.26,42.86,8.57,34.29,400,107Y12M
A6402-22,A6402-22-005,A6402-0244-00,114.08,2.38,9187.29,49.02,8.82,40.2,455.56,107Y12M
A6402-22,A6402-22-006,A6402-0250-00,108,2.31,11804.57,31.65,8.86,22.78,257.14,107Y12M
A6402-22,A6402-22-006,A6402-0254-00,95.87,2.89,42136.28,41.92,14.37,27.54,191.67,107Y12M
A6402-22,A6402-22-007,A6402-0273-00,82.61,2.53,32216.84,38.16,11.84,26.32,222.22,107Y12M
A6402-22,A6402-22-008,A6402-0261-00,117.54,2.7,13736.16,33.33,9.68,23.66,244.44,107Y12M
A6402-22,A6402-22-008,A6402-0288-00,105.97,2.88,9010.87,31.43,7.62,23.81,312.5,107Y12M
A6402-22,A6402-22-009,A6402-0277-00,111.02,2.68,31666.99,44.86,9.73,35.14,361.11,107Y12M
A6402-23,A6402-23-001,A6402-0199-00,95.77,2.7,24731.58,41.22,22.14,19.08,86.21,107Y12M
A6402-23,A6402-23-002,A6402-0220-00,89.5,2.59,30207.29,34.74,16.56,18.18,109.8,107Y12M
A6402-23,A6402-23-003,A6402-0232-00,72.96,2.13,28668.76,45.49,35.62,9.87,27.71,107Y12M
A6402-23,A6402-23-003,A6402-0233-00,100,2.59,18131.25,31.43,22.14,9.29,41.94,107Y12M
A6402-23,A6402-23-004,A6402-0234-00,72.65,2.31,101563.15,45.67,37.02,8.65,23.38,107Y12M
A6402-23,A6402-23-005,A6402-0245-00,78.63,2.37,26846.51,50.17,38.31,11.86,30.97,107Y12M
A6402-23,A6402-23-006,A6402-0255-00,133.33,2.33,535.51,75,75,0,0,107Y12M
A6402-23,A6402-23-006,A6402-0257-00,73.39,2.17,33782.24,43.73,34.6,9.13,26.37,107Y12M
A6402-23,A6402-23-007,A6402-0285-00,76.51,2.69,20021.7,47.98,36.87,11.11,30.14,107Y12M
A6402-24,A6402-24-001,A6402-0132-00,112.5,2.18,4615.1,123.68,18.42,105.26,571.43,107Y12M
A6402-24,A6402-24-001,A6402-0163-00,100,2,3066.81,60,0,60,0,107Y12M
A6402-24,A6402-24-002,A6402-0178-00,137.5,3.17,7741.88,26.67,0,26.67,0,107Y12M
A6402-24,A6402-24-002,A6402-0184-00,200,2,4689.88,33.33,0,33.33,0,107Y12M
A6402-24,A6402-24-002,A6402-0196-00,180,2.55,7894.59,133.33,33.33,100,300,107Y12M
A6402-24,A6402-24-002,A6402-0207-00,87.5,2.14,4135.92,66.67,0,66.67,0,107Y12M
A6402-24,A6402-24-003,A6402-0079-00,88.06,2.74,8843.76,40,12.22,27.78,227.27,107Y12M
A6402-24,A6402-24-003,A6402-0166-00,123.08,2.29,1440.08,55.36,5.36,50,933.33,107Y12M
A6402-24,A6402-24-003,A6402-0263-00,104.76,2.16,3499.16,66.09,7.73,58.37,755.56,107Y12M
A6402-24,A6402-24-004,A6402-0260-00,102.44,2.77,44564.39,43.1,12.93,30.17,233.33,107Y12M
A6402-24,A6402-24-004,A6402-0262-00,113.64,3.36,38895.12,42.42,19.7,22.73,115.38,107Y12M
A6402-24,A6402-24-004,A6402-0267-00,147.83,3.17,25973.93,62.86,11.43,51.43,450,107Y12M
A6402-24,A6402-24-005,A6402-0286-00,107.69,2.49,21233.59,37.11,11.72,25.39,216.67,107Y12M
A6402-24,A6402-24-006,A6402-0319-00,111.02,2.18,16585.9,38.14,11.86,26.29,221.74,107Y12M
A6402-24,A6402-24-007,A6402-0320-00,127.38,2.51,22443.25,43.61,11.28,32.33,286.67,107Y12M
A6402-24,A6402-24-008,A6402-0345-00,114.49,2.47,23975.72,43,10.63,32.37,304.55,107Y12M
A6402-24,A6402-24-010,A6402-0381-00,104.35,2.44,16965.15,42.42,12.12,30.3,250,107Y12M
